# 【geoguessr】日本マップNMで使える知識を300個以上紹介します！

[00:00:30] かわいいチャージャーとか食べたことないから
[00:00:32] あんまり持っていかないなぁ、ほんの少し
[00:00:35] だから、
[00:00:45] ガラス愛人、
[00:00:47] リボン愛人。
[00:00:49] ミステリー愛人ですね。
[00:00:50] はい。
[00:00:54] はい。
[00:00:54] さあ、
[00:00:55] すぐ始まるんですけど。
[00:00:57] みなさん、こんにちは。
[00:01:00] 今日は日本マップで使える情報などなど
[00:01:06] いろいろ解説していきたいと思います。
[00:01:13] 質問とか謝りとかあればご指摘ください。
[00:01:23] 明日からお出かけするので、
[00:01:26] しばらく配信がちゃんとできないということで、
[00:01:30] 今日やっちゃいます。
[00:01:34] 紹介のあれとしては、
[00:01:37] まず電柱を軽く基本的な部分を説明して、
[00:01:41] その後都道府県別に使える情報っていうのを
[00:01:46] 一通りやっていこうかなって思います。
[00:01:50] なのでまずは電柱からいきたいと思います。
[00:01:57] はい。
[00:01:59] まず北海道からいきます。
[00:02:05] こんにちは。
[00:02:06] 日本マップ勉強したかったのでありがたいです。
[00:02:09] 森戸さんこんにちは。
[00:02:11] 今日は、
[00:02:12] そうですね、もう一通り解説していきます。
[00:02:16] だいたい。
[00:02:17] さあ、まず北海道の電柱の特徴ですね。
[00:02:21] 北海道の電柱は、
[00:02:24] 北海道の電柱は、
[00:02:26] 電柱っていうか、
[00:02:28] 北海道まず当てるのは景色がやっぱり一番大事なので、
[00:02:32] 景色で当てるのが一番早いんですけれども、
[00:02:37] それ以外でもまた電柱で見分けることができます。
[00:02:43] こういうの自分は覚えてないんですが、
[00:02:46] 北海道はやっぱり景色が一番わかりやすいので、
[00:02:48] こんな覚えてないんですけど、
[00:02:50] こういう形も北海道でしか見ないですね。
[00:02:53] 変圧器の乗せ方というか、
[00:02:57] こういうなんかすごい形してるのは北海道しかないかなと思います。
[00:03:02] で、北海道の電柱の間、電線があって、
[00:03:07] 電線にこういうのがついてます。
[00:03:10] こっち1個あって3つあるっていうのがあります。
[00:03:13] これは北海道限定ですね。
[00:03:16] 他の地域にはないので、
[00:03:19] これもこういう結構大きいやつがついてるっていうやつですね。
[00:03:23] 残り3つしかないけど、
[00:03:27] こういうのが北海道にしかないんですね。
[00:03:30] で、結構遠くからでも見えるので、
[00:03:34] これはまあ必須かなって感じがします。
[00:03:40] これがまず北海道の電柱の見分け方なんですけれども、
[00:03:46] まあ電柱北海道ってわかってもそこからがめちゃくちゃ大事になってきます。
[00:03:50] ということで、
[00:03:52] 北海道にはプレートがあります。
[00:03:56] 北海道にはというか全ての電力でプレートがついてるんですけど、
[00:03:59] そのプレートでも見分けることができます。
[00:04:02] そうですね、低圧スペーサーって言います。
[00:04:06] 北海道の電柱はこういうプレートがついてます。
[00:04:10] これ黄色いプレートなんですけど、
[00:04:12] 普通に白いプレートのことも多いかな。
[00:04:16] そっちの方が多いかなと思うんですが、
[00:04:19] これ白ですね。
[00:04:21] いや、わかんないけど。
[00:04:23] 黄色のことがたまにあります。
[00:04:26] この時、この番号である程度エリアを絞ることができます。
[00:04:33] 使えるのはここの一番上のこの2桁ですね。
[00:04:37] ここの20ってあるんですけれども、
[00:04:40] だいたい20番の使われているのが函館周辺になります。
[00:04:48] 札幌に行くとどうなるかというと、
[00:04:52] 41番になります。
[00:04:55] 札幌は41、これ覚えておいたほうがいいと思います。
[00:04:58] よく使えるので。
[00:05:01] 今回主要な都市だけ紹介していきます。
[00:05:05] 朝日川52です。
[00:05:11] で、輪っか内に行くと81になります。
[00:05:16] 8番、最初8番っていうのはもう多分輪っか内周辺でしか使われてないので、
[00:05:23] 81か82とかになるかと思います。
[00:05:28] で、その番号の付け方なんですけれども、
[00:05:32] こっち8だったので、
[00:05:34] 8、7、6、5、4、3、2ですね、1桁目が。
[00:05:41] で、2桁目がこっちから9、0、1、2、3、4、5みたいな感じになっていくので、
[00:05:52] まず1桁目は南北の位置を表している感じですね。
[00:05:57] ちっちゃいほど南、で、大きいほど北で2から8まであります。
[00:06:06] そうですね。
[00:06:08] まあ、あんまり見えないです。
[00:06:10] けど、ムーブとかだとこれは見ておいたほうがいいですね。
[00:06:14] 特に情報が何もなさそうっていう場合には先に見ておくことで大きく外さなくて済むので、
[00:06:21] ムーブではこれ必須かな。
